"System","Type","Name","SubName","Datatype","Description"
"BambooHR","employee","acaStatus","","string",""
"BambooHR","employee","address1","","string",""
"BambooHR","employee","address2","","string",""
"BambooHR","employee","allergies","","string",""
"BambooHR","employee","city","","string",""
"BambooHR","employee","country","","string",""
"BambooHR","employee","customNIN1","","string",""
"BambooHR","employee","customSecondaryLanguage1","","string",""
"BambooHR","employee","customShirtsize","","string",""
"BambooHR","employee","customTaxFileNumber1","","string",""
"BambooHR","employee","dateOfBirth","","string",""
"BambooHR","employee","department","","string",""
"BambooHR","employee","dietaryRestrictions","","string",""
"BambooHR","employee","division","","string",""
"BambooHR","employee","eeo","","string",""
"BambooHR","employee","employeeNumber","","string",""
"BambooHR","employee","employeeStatusDate","","string",""
"BambooHR","employee","employmentHistoryStatus","","string",""
"BambooHR","employee","ethnicity","","string",""
"BambooHR","employee","exempt","","string",""
"BambooHR","employee","facebook","","string",""
"BambooHR","employee","firstName","","string",""
"BambooHR","employee","gender","","string",""
"BambooHR","employee","hireDate","","string",""
"BambooHR","employee","homeEmail","","string",""
"BambooHR","employee","homePhone","","string",""
"BambooHR","employee","hoursPerPayCycle","","string",""
"BambooHR","employee","id","","string",""
"BambooHR","employee","instagram","","string",""
"BambooHR","employee","jobTitle","","string",""
"BambooHR","employee","lastChanged","","string",""
"BambooHR","employee","lastName","","string",""
"BambooHR","employee","linkedIn","","string",""
"BambooHR","employee","location","","string",""
"BambooHR","employee","maritalStatus","","string",""
"BambooHR","employee","middleName","","string",""
"BambooHR","employee","mobilePhone","","string",""
"BambooHR","employee","originalHireDate","","string",""
"BambooHR","employee","overtimeRate","","string",""
"BambooHR","employee","payChangeReason","","string",""
"BambooHR","employee","payPer","","string",""
"BambooHR","employee","payPeriod","","string",""
"BambooHR","employee","payRate","","string",""
"BambooHR","employee","payRateEffectiveDate","","string",""
"BambooHR","employee","paySchedule","","string",""
"BambooHR","employee","payType","","string",""
"BambooHR","employee","pinterest","","string",""
"BambooHR","employee","preferredName","","string",""
"BambooHR","employee","ssn","","string",""
"BambooHR","employee","state","","string",""
"BambooHR","employee","status","","string",""
"BambooHR","employee","terminationDate","","string",""
"BambooHR","employee","twitterFeed","","string",""
"BambooHR","employee","workEmail","","string",""
"BambooHR","employee","workPhone","","string",""
"BambooHR","employee","workPhoneExtension","","string",""
"BambooHR","employee","zipcode","","string",""
